method,ratio,subsampling_seed,rmse,mae
temporal_jitter_0p20_rho0p85,0.5,2026,0.249750268976,0.182127688046
temporal_jitter_0p20_rho0p85,0.75,42,0.262627042846,0.185600118922
temporal_jitter_0p20_rho0p85,0.75,123,0.246817706151,0.168628966312
temporal_jitter_0p20_rho0p85,0.75,2026,0.247381495814,0.170615447366
temporal_jitter_0p25_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p25_rho0p85,0.25,42,0.269992770181,0.192613113782
temporal_jitter_0p25_rho0p85,0.25,123,0.269898540965,0.19292946647
temporal_jitter_0p25_rho0p85,0.25,2026,0.292894704854,0.212585721274
temporal_jitter_0p25_rho0p85,0.5,42,0.242485314654,0.16618149639
temporal_jitter_0p25_rho0p85,0.5,123,0.309061939258,0.234021608013
temporal_jitter_0p25_rho0p85,0.5,2026,0.250296658908,0.185065429287
temporal_jitter_0p25_rho0p85,0.75,42,0.257472762636,0.180746219776
temporal_jitter_0p25_rho0p85,0.75,123,0.244534717564,0.166838685619
temporal_jitter_0p25_rho0p85,0.75,2026,0.24252223917,0.16624354296
temporal_jitter_0p30_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p30_rho0p85,0.25,42,0.266759205468,0.190027141184
temporal_jitter_0p30_rho0p85,0.25,123,0.270260743496,0.193228369962
temporal_jitter_0p30_rho0p85,0.25,2026,0.284384517528,0.205201156267
temporal_jitter_0p30_rho0p85,0.5,42,0.240300837538,0.167421118086
temporal_jitter_0p30_rho0p85,0.5,123,0.305078253993,0.230289808887
temporal_jitter_0p30_rho0p85,0.5,2026,0.251666018303,0.189082509781
temporal_jitter_0p30_rho0p85,0.75,42,0.25252714976,0.175809818436
temporal_jitter_0p30_rho0p85,0.75,123,0.243183120846,0.167115803233
temporal_jitter_0p30_rho0p85,0.75,2026,0.23835415831,0.16239226509
temporal_jitter_0p40_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p40_rho0p85,0.25,42,0.264400281545,0.194603930866
temporal_jitter_0p40_rho0p85,0.25,123,0.270206308532,0.193508564127
temporal_jitter_0p40_rho0p85,0.25,2026,0.269060344631,0.192124082091
temporal_jitter_0p40_rho0p85,0.5,42,0.241193754467,0.175191887149
temporal_jitter_0p40_rho0p85,0.5,123,0.298299819203,0.223085921802
temporal_jitter_0p40_rho0p85,0.5,2026,0.257141851334,0.199638198974
temporal_jitter_0p40_rho0p85,0.75,42,0.244826557423,0.16768321063
temporal_jitter_0p40_rho0p85,0.75,123,0.243233314074,0.172508050785
temporal_jitter_0p40_rho0p85,0.75,2026,0.232264572859,0.157167349714
temporal_jitter_0p50_rho0p85,0,,1.47957624427,1.14692737976
temporal_jitter_0p50_rho0p85,0.25,42,0.2599002742,0.183778182769
temporal_jitter_0p50_rho0p85,0.25,123,0.429701994091,0.371647647988
temporal_jitter_0p50_rho0p85,0.25,2026,0.264124201706,0.187653882999
temporal_jitter_0p50_rho0p85,0.5,42,0.236211504055,0.163808282691
temporal_jitter_0p50_rho0p85,0.5,123,0.2462206301,0.180422813937
temporal_jitter_0p50_rho0p85,0.5,2026,0.235601305284,0.166241021212
temporal_jitter_0p50_rho0p85,0.75,42,0.230162373179,0.152964979367
temporal_jitter_0p50_rho0p85,0.75,123,0.228838257581,0.156420502653
temporal_jitter_0p50_rho0p85,0.75,2026,0.276032972608,0.220860920746
regime_temporal_jitter_0p03_rho0p85,0,,1.47957624427,1.14692737976
regime_temporal_jitter_0p03_rho0p85,0.25,42,0.264051292669,0.182285239571
regime_temporal_jitter_0p03_rho0p85,0.25,123,0.245055172946,0.173358020195
regime_temporal_jitter_0p03_rho0p85,0.25,2026,0.27265857746,0.197120062539
regime_temporal_jitter_0p03_rho0p85,0.5,42,0.27384038154,0.196607535665
regime_temporal_jitter_0p03_rho0p85,0.5,123,0.241347538724,0.166708672412
regime_temporal_jitter_0p03_rho0p85,0.5,2026,0.270155463924,0.185823445557
regime_temporal_jitter_0p03_rho0p85,0.75,42,0.272950948518,0.191647257046
regime_temporal_jitter_0p03_rho0p85,0.75,123,0.261271374415,0.184110535778
regime_temporal_jitter_0p03_rho0p85,0.75,2026,0.238105361659,0.163063380712
regime_temporal_jitter_0p05_rho0p85,0,,1.47957624427,1.14692737976
regime_temporal_jitter_0p05_rho0p85,0.25,42,0.263070270044,0.181519082085
regime_temporal_jitter_0p05_rho0p85,0.25,123,0.24597288565,0.175679003588
regime_temporal_jitter_0p05_rho0p85,0.25,2026,0.272635355847,0.197572439204
regime_temporal_jitter_0p05_rho0p85,0.5,42,0.275228989725,0.197860790123
regime_temporal_jitter_0p05_rho0p85,0.5,123,0.240996571707,0.166535252396
regime_temporal_jitter_0p05_rho0p85,0.5,2026,0.270430741923,0.185993193059
regime_temporal_jitter_0p05_rho0p85,0.75,42,0.27308261741,0.191681650782
regime_temporal_jitter_0p05_rho0p85,0.75,123,0.26047846842,0.183327193267
regime_temporal_jitter_0p05_rho0p85,0.75,2026,0.23812096541,0.163091445575
regime_temporal_jitter_0p075_rho0p85,0,,1.47957624427,1.14692737976
regime_temporal_jitter_0p075_rho0p85,0.25,42,0.261690559775,0.180454964077
regime_temporal_jitter_0p075_rho0p85,0.25,123,0.247466996557,0.179135551588
regime_temporal_jitter_0p075_rho0p85,0.25,2026,0.272536147322,0.197969703493
regime_temporal_jitter_0p075_rho0p85,0.5,42,0.277002514654,0.199365614442
regime_temporal_jitter_0p075_rho0p85,0.5,123,0.240680378978,0.166373683752
regime_temporal_jitter_0p075_rho0p85,0.5,2026,0.270264181122,0.185757944138
regime_temporal_jitter_0p075_rho0p85,0.75,42,0.272313368058,0.190925134552
regime_temporal_jitter_0p075_rho0p85,0.75,123,0.259035808572,0.18192834073
regime_temporal_jitter_0p075_rho0p85,0.75,2026,0.237888442528,0.162949436327
regime_temporal_jitter_0p10_rho0p85,0,,1.47957624427,1.14692737976
regime_temporal_jitter_0p10_rho0p85,0.25,42,0.260270821055,0.179242700626
regime_temporal_jitter_0p10_rho0p85,0.25,123,0.249454530716,0.183519436079
regime_temporal_jitter_0p10_rho0p85,0.25,2026,0.271886147984,0.197886635136
regime_temporal_jitter_0p10_rho0p85,0.5,42,0.278590795919,0.200616438848
regime_temporal_jitter_0p10_rho0p85,0.5,123,0.240550791433,0.166329143136
regime_temporal_jitter_0p10_rho0p85,0.5,2026,0.269500479917,0.185038179478
regime_temporal_jitter_0p10_rho0p85,0.75,42,0.270696465352,0.189427420032
regime_temporal_jitter_0p10_rho0p85,0.75,123,0.257278320695,0.180265562177
regime_temporal_jitter_0p10_rho0p85,0.75,2026,0.237510551658,0.162636915999
regime_mixup_jitter_0p01_rho0p85,0,,1.47957624427,1.14692737976
regime_mixup_jitter_0p01_rho0p85,0.25,42,0.273680707646,0.193123033109
regime_mixup_jitter_0p01_rho0p85,0.25,123,0.289081335833,0.207255345621
regime_mixup_jitter_0p01_rho0p85,0.25,2026,0.373480129646,0.299945724967
regime_mixup_jitter_0p01_rho0p85,0.5,42,0.250782186628,0.181891175722
regime_mixup_jitter_0p01_rho0p85,0.5,123,0.241558085108,0.16825782404
regime_mixup_jitter_0p01_rho0p85,0.5,2026,0.260659097112,0.179792145893
regime_mixup_jitter_0p01_rho0p85,0.75,42,0.255822340083,0.176024732202
regime_mixup_jitter_0p01_rho0p85,0.75,123,0.258769918519,0.179358771175
regime_mixup_jitter_0p01_rho0p85,0.75,2026,0.243676412061,0.168297728614
regime_mixup_jitter_0p02_rho0p85,0,,1.47957624427,1.14692737976
